Tries,outcome
1568,Two pair
1569,Straight
1570,One pair
1571,Two pair
1572,Three of a kind
1573,One pair
1574,One pair
1575,Straight
1576,Two pair
1577,One pair
1578,One pair
1579,One pair
1580,Two pair
1581,High card
1582,Two pair
1583,One pair
1584,One pair
1585,Full house
1586,One pair
1587,One pair
1588,Straight
1589,One pair
1590,One pair
1591,One pair
1592,Two pair
1593,Two pair
1594,One pair
1595,Flush
1596,One pair
1597,Two pair
1598,Flush
1599,One pair
1600,Two pair
1601,Flush
1602,One pair
1603,One pair
1604,Two pair
1605,One pair
1606,One pair
1607,High card
1608,Full house
1609,Straight
1610,One pair
1611,Two pair
1612,Two pair
1613,High card
1614,Flush
1615,Two pair
1616,One pair
1617,High card
1618,One pair
1619,Two pair
1620,High card
1621,High card
1622,One pair
1623,Flush
1624,Two pair
1625,One pair
1626,One pair
1627,One pair
1628,High card
1629,Two pair
1630,Straight
1631,One pair
1632,Flush
1633,High card
1634,Two pair
1635,Two pair
1636,One pair
1637,Straight
1638,Two pair
1639,One pair
1640,Two pair
1641,Straight
1642,High card
1643,Two pair
1644,Full house
1645,One pair
1646,One pair
1647,Two pair
1648,One pair
1649,Two pair
1650,Two pair
1651,Two pair
1652,High card
1653,Two pair
1654,Two pair
1655,One pair
1656,Straight
1657,One pair
1658,One pair
1659,One pair
1660,Three of a kind
1661,One pair
1662,One pair
1663,Two pair
1664,High card
1665,Two pair
1666,One pair
1667,Three of a kind
1668,High card
1669,High card
1670,Two pair
1671,Full house
1672,One pair
1673,One pair
1674,One pair
1675,Two pair
1676,One pair
1677,One pair
1678,Three of a kind
1679,One pair
1680,One pair
1681,One pair
1682,One pair
1683,One pair
1684,One pair
1685,High card
1686,One pair
1687,Two pair
1688,Three of a kind
1689,High card
1690,Two pair
1691,One pair
1692,One pair
1693,One pair
1694,One pair
1695,Full house
1696,High card
1697,Two pair
1698,Two pair
1699,One pair
1700,One pair
1701,Three of a kind
1702,Two pair
1703,High card
1704,One pair
1705,Three of a kind
1706,Two pair
1707,Two pair
1708,One pair
1709,One pair
1710,Two pair
1711,One pair
1712,Two pair
1713,Two pair
1714,Two pair
1715,High card
1716,Full house
1717,One pair
1718,Two pair
1719,Two pair
1720,Two pair
1721,High card
1722,One pair
1723,High card
1724,Two pair
1725,One pair
1726,Two pair
1727,Two pair
1728,One pair
1729,Two pair
1730,One pair
1731,Straight
1732,High card
1733,Three of a kind
1734,High card
1735,Straight
1736,One pair
1737,One pair
1738,Three of a kind
1739,One pair
1740,Full house
1741,One pair
1742,One pair
1743,Flush
1744,Two pair
1745,Two pair
1746,High card
1747,Two pair
1748,Flush
1749,One pair
1750,High card
1751,Two pair
1752,One pair
1753,High card
1754,One pair
1755,One pair
1756,High card
1757,One pair
1758,Two pair
1759,High card
1760,High card
1761,Three of a kind
1762,Two pair
1763,High card
1764,Two pair
1765,Two pair
1766,High card
1767,Full house
1768,One pair
1769,Two pair
1770,One pair
1771,Full house
1772,Straight
1773,One pair
1774,One pair
1775,Straight
1776,Two pair
1777,Two pair
1778,Three of a kind
1779,Two pair
1780,One pair
1781,Two pair
1782,One pair
1783,High card
1784,One pair
1785,High card
1786,Three of a kind
1787,High card
1788,One pair
1789,Straight
1790,Two pair
1791,One pair
1792,Two pair
1793,Flush
1794,One pair
1795,One pair
1796,High card
1797,One pair
1798,One pair
1799,Straight
1800,One pair
1801,High card
1802,Straight
1803,Two pair
1804,Straight
1805,Two pair
1806,One pair
1807,High card
1808,Two pair
1809,One pair
1810,High card
1811,One pair
1812,One pair
1813,One pair
1814,One pair
1815,One pair
1816,Two pair
1817,High card
1818,Two pair
1819,One pair
1820,Three of a kind
1821,Royal flush
1822,One pair
1823,Three of a kind
1824,One pair
1825,Two pair
1826,High card
1827,One pair
1828,Two pair
1829,Two pair
1830,One pair
1831,High card
1832,High card
1833,Three of a kind
1834,Two pair
1835,One pair
1836,Full house
1837,High card
1838,One pair
1839,High card
1840,One pair
1841,One pair
1842,Two pair
1843,One pair
1844,Two pair
1845,High card
1846,Two pair
1847,Full house
1848,One pair
1849,Three of a kind
1850,One pair
1851,High card
1852,High card
1853,Full house
1854,One pair
1855,Two pair
1856,One pair
1857,Two pair
1858,High card
1859,One pair
1860,Two pair
1861,Straight
1862,One pair
1863,One pair
1864,One pair
1865,Flush
1866,One pair
1867,One pair
1868,One pair
1869,One pair
1870,Flush
1871,Two pair
1872,High card
1873,One pair
1874,Two pair
1875,High card
1876,One pair
1877,One pair
1878,Two pair
1879,High card
1880,One pair
1881,Two pair
1882,High card
1883,One pair
1884,High card
1885,Flush
1886,Two pair
1887,Two pair
1888,Three of a kind
1889,One pair
1890,High card
1891,One pair
1892,Two pair
1893,One pair
1894,One pair
1895,One pair
1896,Flush
1897,Two pair
1898,Two pair
1899,High card
1900,One pair
1901,Two pair
1902,Straight
1903,Three of a kind
1904,One pair
1905,One pair
1906,Two pair
1907,Two pair
1908,Two pair
1909,One pair
1910,Two pair
1911,High card
1912,Two pair
1913,One pair
1914,One pair
1915,Two pair
1916,High card
1917,Two pair
1918,Two pair
1919,Two pair
1920,Two pair
1921,Three of a kind
1922,One pair
